National code	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	21	NYS	뉴욕	EVTR	NYSEVTR	MORGAN STANLEY ETF TRUST EATON VANCE TOTAL RETURN BOND ETF U	MORGAN STANLEY ETF TRUST EATON VANCE TOTAL RETURN BOND ETF U	3	USD	4		52.1	1	1	930	1600	N		0	0	0	001	   
US	21	NYS	뉴욕	EW	NYSEW	에드워즈 라이프사이언시스	EDWARDS LIFESCIENCES CORP	2	USD	4		67.26	1	1	930	1600	N		510	0	0	   	   
US	21	NYS	뉴욕	EXG	NYSEXG	EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND	EATON VANCE TAX-MNGD GBL DIV EQ INC	3	USD	4		8.4843	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	EXK	NYSEXK	엔데버 실버	ENDEAVOUR SILVER CORP	2	USD	4		3.6	1	1	930	1600	N		130	0	0	   	   
US	21	NYS	뉴욕	EXP	NYSEXP	이글 머티리얼스	EAGLE MATERIALS INC	2	USD	4		292.07	1	1	930	1600	N		120	0	0	   	   
US	21	NYS	뉴욕	EXPD	NYSEXPD	익스피다이터스 인터내셔널 오브 워싱턴	EXPEDITORS INTERN OF WASHINGTON INC	2	USD	4		125.65	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	EXR	NYSEXR	엑스트라 스페이스 스토리지	EXTRA SPACE STORAGE INC	2	USD	4		180.09	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	EXTO	NYSEXTO	알마세네스 엑시토(ADR)	ALMACENES EXITO SPON ADS EACH REPR 8 COM SHS	2	USD	4		4.19	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	F	NYSF	포드 모터	FORD MOTOR CO	2	USD	4		10.92	1	1	930	1600	N		310	0	0	   	   
US	21	NYS	뉴욕	F/B	NYSF/B	포드 모터 일반채권(2059-06-01 6.200%)	FORD MOTOR CO 6.20% NOTES DUE 01/06/2059 USD25	2	USD	4		25.19	1	1	930	1600	N		0	0	0	   	   
