S	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	22	NAS	나스닥	CLWT	NASCLWT	유로 테크 홀딩스	EURO TECH HLDGS	2	USD	4		1.69	1	1	930	1600	N		250	0	1	   	   
US	22	NAS	나스닥	CMAX	NASCMAX	케어맥스	CAREMAX INC	2	USD	4		2.25	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CMBM	NASCMBM	캠비움 네트웍스	CAMBIUM NETWORKS CORPORATION	2	USD	4		1.79	1	1	930	1600	N		740	0	0	   	   
US	22	NAS	나스닥	CMCO	NASCMCO	컬럼버스 매키넌	COLUMBUS MCKINNON CORPORATION	2	USD	4		33.33	1	1	930	1600	N		230	0	1	   	   
US	22	NAS	나스닥	CMCSA	NASCMCSA	컴캐스트	COMCAST CORP	2	USD	4		40.27	1	1	930	1600	N		370	0	0	   	   
US	22	NAS	나스닥	CMCT	NASCMCT	크리에이티브 미디어 & 커뮤니티 트러스트	CREATIVE MEDIA & COMMUNITY TR CORP	2	USD	4		1.91	1	1	930	1600	N		630	0	1	   	   
US	22	NAS	나스닥	CME	NASCME	CME 그룹	CME GROUP INC	2	USD	4		214.76	1	1	930	1600	N		640	0	0	   	   
US	22	NAS	나스닥	CMLS	NASCMLS	큐물러스 미디어	CUMULUS MEDIA INC	2	USD	4		1.49	1	1	930	1600	N		370	0	0	   	   
US	22	NAS	나스닥	CMMB	NASCMMB	키모맵 테라퓨틱스(ADR)	CHEMOMAB THERAPEUTICS LTD SPON ADS EACH REP 20 ORD SHS	2	USD	4		1.68	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CMND	NASCMND	클리어마인드 메디신	CLEARMIND MEDICINE INC	2	USD	4		1.29	1	1	930	1600	N		0	0	0	   	   
